YMV5c6FPAr,TRESFACILE,QCMSOLO,R1.01 - Init Dév,Conditions,00:30,1.0
SakH86k97c,FACILE,QCMMULTI,R1.01 - Init Dév,Classe,00:30,1.0
$D7B7IrEma,MOYEN,ASSOCIATION,R1.01 - Init Dév,Classe,00:30,1.0
6qnT€7H€Ei,FACILE,ELIMINATION,R1.01 - Init Dév,Tableaux,00:30,1.0
m6EHUV9BEC,FACILE,ASSOCIATION,R1.01 - Init Dév,Conditions,00:30,1.0
XtptRhIJh7,MOYEN,QCMSOLO,R1.01 - Init Dév,Tableaux,00:30,1.0
RBjjhyOemj,DIFFICILE,ELIMINATION,R1.01 - Init Dév,Variables,00:30,3.0
C€HlJFMf3m,FACILE,QCMMULTI,R1.01 - Init Dév,Héritage*,00:30,1.0
bYBg1ehmGb,MOYEN,QCMSOLO,R1.01 - Init Dév,Types Enumérés,00:30,1.0
9m3@uuAi78,TRESFACILE,QCMSOLO,R1.01 - Init Dév,Types Enumérés,00:30,1.0
NJ32Ykaw$8,DIFFICILE,ASSOCIATION,R1.01 - Init Dév,Héritage*,00:30,1.0
f6Yxz$ixJ4,FACILE,ELIMINATION,R1.01 - Init Dév,Conditions,00:30,1.0
6Q8nn0ifht,MOYEN,QCMSOLO,R1.01 - Init Dév,Héritage*,00:30,1.0
zZv2OFFeU2,FACILE,ASSOCIATION,R1.01 - Init Dév,Tableaux,00:30,1.0
rqAO7ad€b9,TRESFACILE,QCMSOLO,R1.05 - Base de Données,SELECT,00:30,1.0
m3I149rJKF,FACILE,QCMSOLO,R1.05 - Base de Données,Requêtes imbriqués,00:30,1.0
€Vc@HK6qf1,TRESFACILE,QCMSOLO,R1.05 - Base de Données,CREATE,00:30,1.0
Pz37$lzZ$N,FACILE,QCMSOLO,R1.05 - Base de Données,INSERT,00:30,1.0
fg9oIC5k1b,FACILE,ELIMINATION,R1.05 - Base de Données,UPDATE,00:30,1.0
3RtldQdUeF,FACILE,ELIMINATION,R1.05 - Base de Données,DELETE,00:30,1.0
14VpyueyXO,FACILE,ELIMINATION,R1.05 - Base de Données,Fonctions,00:30,1.0
Edr2gRZOE1,FACILE,QCMMULTI,R1.05 - Base de Données,SELECT,00:30,1.0
6KjGIhgMnc,MOYEN,QCMMULTI,R1.05 - Base de Données,CREATE,00:30,1.0
3ycYTBr3Qy,TRESFACILE,QCMMULTI,R1.05 - Base de Données,UPDATE,00:30,1.0
GAt!VyTs2q,MOYEN,QCMMULTI,R1.05 - Base de Données,Fonctions,00:30,1.0
!AYGmXwwkE,FACILE,ASSOCIATION,R1.05 - Base de Données,SELECT,00:30,1.0
b€nQggx3Dx,DIFFICILE,ASSOCIATION,R1.05 - Base de Données,Fonctions,00:30,1.0
Y3EkaSTm2b,MOYEN,ASSOCIATION,R1.05 - Base de Données,Clause,00:30,1.0
z6oBJYY9My,TRESFACILE,ASSOCIATION,R1.05 - Base de Données,CREATE,00:30,1.0
